id,Player,Team,Position,Age,Games,Points,Rebounds,Assists,Steals,Blocks,Win Shares,Minutes Played,Player Efficiency Rating,Games Started,Field Goal %,Free Throw %,Turnovers
230,Harrison Ingram,SAS,SF,22,5,0.8,1.8,0.6,0.6,0,0.1,7,10.9,0,0.5,,0.2
231,Kyrie Irving,DAL,SG,32,50,24.7,4.8,4.6,1.3,0.5,4.6,36.1,19.9,50,0.473,0.916,2.2
232,Jonathan Isaac,ORL,PF,27,71,5.4,4.4,0.6,0.9,1.1,3.4,15.4,16.6,1,0.414,0.682,0.5
233,Jaden Ivey,DET,SG,22,30,17.6,4.1,4,0.9,0.4,1.2,29.9,14.7,30,0.46,0.733,3
234,Andre Jackson Jr.,MIL,SG,23,67,3.4,2.7,1.2,0.5,0.2,1.2,14.6,8.6,43,0.477,0.5,0.9
235,GG Jackson II,MEM,PF,20,29,7.2,3.2,1,0.4,0.2,0.1,15.8,9.3,3,0.372,0.725,1.1
236,Isaiah Jackson,IND,C,23,5,7,5.6,1,0.6,1.6,0.3,16.8,18.2,1,0.609,0.5,1
237,Jaren Jackson Jr.,MEM,C,25,74,22.2,5.6,2,1.2,1.5,6.4,29.8,19.6,74,0.488,0.781,2.1
238,Quenton Jackson,IND,PG,26,28,5.8,1.6,1.9,0.8,0.2,1,13.6,14.7,7,0.475,0.775,0.6
239,Reggie Jackson,PHI,PG,34,31,4.4,1.4,1.5,0.5,0.1,0.1,12.4,9.8,1,0.391,0.778,0.5
240,Trayce Jackson-Davis,GSW,C,24,62,6.6,5,1.7,0.4,0.6,3.4,15.6,18.5,37,0.576,0.578,0.7
241,Bronny James,LAL,SG,20,27,2.3,0.7,0.8,0.3,0.1,-0.2,6.7,7.1,1,0.313,0.786,0.5
242,LeBron James,LAL,SF,40,70,24.4,7.8,8.2,1,0.6,7.7,34.9,22.7,70,0.513,0.782,3.7
243,Jaime Jaquez Jr.,MIA,SF,23,66,8.6,4.4,2.5,0.9,0.2,2.3,20.7,14.3,17,0.461,0.754,1.5
244,DaQuan Jeffries,CHO,SG,27,47,6.7,2.9,1.1,0.6,0.5,0.6,22.8,7.9,20,0.405,0.8,0.7
245,Trey Jemison,2TM,C,25,38,2.5,2.8,0.4,0.2,0.4,0.3,10.3,8.9,0,0.554,0.394,0.6
246,Daniss Jenkins,DET,PG,23,7,1,0.3,0.4,0,0,-0.1,3.3,-0.1,0,0.3,0,0.1
247,Ty Jerome,CLE,SG,27,70,12.5,2.5,3.4,1.1,0,5.9,19.9,21,3,0.516,0.872,1.3
248,Isaiah Joe,OKC,SG,25,74,10.2,2.6,1.6,0.6,0.1,5.1,21.7,14,16,0.44,0.821,0.5
249,AJ Johnson,2TM,SG,20,29,7.6,2,2.6,0.4,0.1,-0.4,22,7.1,11,0.385,0.865,1.2
250,Cameron Johnson,BRK,PF,28,57,18.8,4.3,3.4,0.9,0.4,5.1,31.6,18.2,57,0.475,0.893,1.7
